sample_id,tADS,PL,v0,t_press,t_depress,h2o_ppmv,sox_ppmv,nox_ppmv,dust_mg_Nm3,co2_mol_frac,n2_mol_frac_effective,capacity_factor,affinity_factor_co2,mtc_factor,dax_factor,deactivation_index,CO2_purity,CO2_recovery,n_CO2_feed,n_N2_feed,n_CO2_product,n_N2_product,n_CO2_dynamic_product,n_N2_dynamic_product,n_CO2_available,bed_y_CO2_before_blowdown,bed_y_N2_before_blowdown,n_CO2_void_tail,n_N2_void_tail,valid_physics,status_detail,n_cycles,status
1,114.983707758935,0.13324208381790642,0.026225568542744722,54.196718189770294,44.8446718775558,97.96905463684719,0.13167051153306714,4.562510739675564,0.012462160135963457,0.17104047735047315,0.828941961277747,0.8804929908156455,0.9274291268313074,0.969948949835617,1.0246889788827993,0.42006625117396235,0.27811826945147294,0.6697089737665484,0.09271756308776873,0.4493064410475426,0.0620937840256448,0.16117016820629995,16.763870603296795,0.15813174025321644,16.893757002131203,0.721432292614147,0.278567707385853,0.12988639883440745,0.05015322534675776,True,ok,10,ok
2,166.78298899893736,0.3083279989384,0.02976781445829177,25.964094157087423,50.924637260651984,11.715659193969822,0.7007694213634904,3.7497138993440364,0.06212336454993953,0.18135471418305932,0.8186423539633887,0.8821904237637327,0.9230467525874284,0.9593877861155338,1.0409647313133161,0.36651686582336646,0.40834949417116156,0.6542816955675826,0.16184223689864743,0.7305504492413998,0.10589041317249744,0.153422784673936,7.765400261236671,0.14177851334498942,7.879702573809052,0.6794125318002763,0.3205874681997237,0.11430231257238117,0.05393466749848701,True,ok,10,ok
3,70.86616496107528,0.18753935587858545,0.02571335027700128,55.090597240489856,46.41067586401255,73.72768600933473,0.06596504309298351,4.622686317256165,0.09571739031993456,0.1766754377804539,0.8233107068923281,0.8760097333088864,0.9330350928500563,0.9606252371886435,1.0616654095528995,0.431132709401062,0.16842761067996176,0.662777460314903,0.05787155200187884,0.2696613221412803,0.0383559602602871,0.1893736863543009,10.290853045229191,0.18966518090271067,10.340304642665515,0.47031718940635936,0.5296828105936406,0.04945159743632409,0.05569360786383207,True,ok,10,ok
4,179.9483025637994,0.17273566435366491,0.016744752053944323,37.71949400027376,45.701852489131156,66.91180230728183,0.3021107526093544,8.74663578740054,0.02839705853526771,0.21679331613018357,0.7831902148795432,0.8656484929065297,0.9171551630184844,0.9653377282750351,1.0394119255674479,0.466880717845216,0.35264136783169736,0.6984742920754913,0.11742556375851065,0.4241808203503546,0.0820187375177912,0.15056525573888108,13.953721864919952,0.14790984865109438,14.079615140467189,0.722717847170332,0.27728215282966795,0.12589327554723595,0.04830094982044768,True,ok,10,ok
5,131.88015600337445,0.2576843919111377,0.02024370654779059,49.71875206188422,45.21671538490351,64.27390451586507,0.8715929626707576,5.78440810567527,0.042458250918176815,0.18470846803311639,0.8152784296833417,0.8431575154939457,0.8963580978815895,0.9492061012734415,1.0397291639333555,0.5267068692253375,0.2621744925605753,0.6372572242032558,0.08864298997518182,0.3912305289821651,0.056488385736661394,0.15897264247000054,9.577747665168328,0.15219759457293536,9.777561768662869,0.7940985444501428,0.20590145554985717,0.19981410349454126,0.05180970930680122,True,ok,10,ok
6,89.6813018549924,0.1673070497474531,0.016000116076313305,39.78612671734995,43.84590330991878,68.96849509836726,0.9293852821153189,1.2946666641841775,0.057215556832417774,0.21263188892780083,0.7873529721886678,0.848074740874867,0.8998148527143847,0.9451714735366157,1.0375409582572117,0.5031240897742905,0.20245308277661128,0.6858611608753482,0.05484558254280732,0.20307282387605982,0.03761645491169456,0.1481868650268856,15.022732201488502,0.14619271069807208,15.21254825677823,0.7982301656992633,0.2017698343007367,0.18981605528972945,0.04798008853734245,True,ok,10,ok
7,174.56518188847681,0.32131714326129124,0.020979319617697376,45.117354187727784,66.64455706473984,71.33919165089519,0.8567471768287888,8.141636624615451,0.05518749120514732,0.15297817531149693,0.8470095338053817,0.8343158343529773,0.8924882143514405,0.9471111370349855,1.0503944682369561,0.5622110264623635,0.2155106025284639,0.5872239095209747,0.10070955851129233,0.5575638686915521,0.059139060675132436,0.21527463397045493,0.3261974770167697,0.21396620689667203,0.3379853528519125,0.1717134221060012,0.8282865778939987,0.011787875835142807,0.05686066480057977,True,ok,10,ok
8,138.18657666853375,0.28826342536114313,0.023239154398382506,40.646332648245505,59.13011490885347,47.57783987122419,0.43614978848025804,5.8971028122566995,0.007464561570218048,0.1775635526043402,0.8224268742344562,0.8750179816965424,0.9186645560175388,0.966941543673314,1.0235672692827704,0.42261616048777156,0.2956117146532353,0.64581436925205,0.10249925725041426,0.4747235449530435,0.0661954931699799,0.15773167171802166,8.764741042878033,0.14911414838672585,8.897037729894073,0.7118307371955787,0.28816926280442134,0.13229668701604058,0.053557449512614964,True,ok,10,ok
9,169.69382833553783,0.24336280190167192,0.030203165352640067,67.5344603086121,61.87060355465629,36.87263387798922,0.37238199460161703,6.219541262744746,0.05454222736731924,0.21049317565610826,0.7894976749535576,0.8746538092131748,0.9234777399642438,0.9628225835939915,1.0448576978151312,0.420935279603532,0.3743570765370356,0.6870449144232009,0.19392451069583413,0.7273218966920617,0.13323484885558048,0.22266826399074338,0.5074149758696578,0.22373132397469095,0.5162759188026053,0.14753197391855077,0.8524680260814492,0.008860942932947488,0.05120022684330335,True,ok,10,ok
10,82.08535053016551,0.2720768423182799,0.023433829356196183,27.78982464408152,72.33000958656748,33.15423782702787,0.1530760187381822,9.532927397237124,0.09832410437530727,0.19403599461652543,0.8059556924785285,0.8725597269880305,0.9293840729777358,0.962297753273477,1.0709623940040713,0.43522695739556505,0.22365863303361996,0.6631091633370605,0.06709144201538489,0.2786617669931353,0.044488949981898784,0.15442557157475978,10.062208060354479,0.1466667289407835,10.239383040223151,0.7738884608864114,0.2261115391135886,0.1771749798686727,0.05176625497767274,True,ok,10,ok
11,113.39662823242513,0.12157158021420116,0.02787050182311801,56.452145753944656,48.790174934789434,58.83215623970893,0.6257069824243701,4.808540453808826,0.025297012753709405,0.20909440423324846,0.7908921571577117,0.8619746065220065,0.9097355456237671,0.9583989793672104,1.0298662543104367,0.4648830765063329,0.3486531452911149,0.6992222669040908,0.11878799473469656,0.44928249520999614,0.08305921095938573,0.15516956190894388,17.35400045566641,0.15195014921062835,17.476072764533775,0.7195073114075133,0.28049268859248666,0.12207230886736813,0.04758866181626267,True,ok,10,ok
12,145.3546010175969,0.23313487781584602,0.01818672737850709,65.5043374522447,70.39805331376569,64.83075257571899,0.17642488273229004,3.1749249427709545,0.005009451181885728,0.22667053479449667,0.7733140092780709,0.8899096963969294,0.9314720575572523,0.9721566073068331,1.0176766440964211,0.3782566486945713,0.3416326162160523,0.7145270149039594,0.10771230528611457,0.3674485325895838,0.07696335196451141,0.14831769062727357,11.44882403087811,0.14225984344058373,11.593499306002636,0.7470725170537618,0.25292748294623824,0.14467527512452577,0.04898099226847548,True,ok,10,ok
13,158.37368628602695,0.12482662554665604,0.012551045770922553,31.02411896180833,61.01079827206419,85.82835209604627,0.82986578892337,8.981091033345628,0.017746750215169662,0.21593012967877848,0.7840492169375691,0.8360127004651768,0.890658563588609,0.9524103208780731,1.0356206284101446,0.5616984599114877,0.1919467229017796,0.6867936749808707,0.07715694460356295,0.2801325428870059,0.052990901534576466,0.22307998278936306,5.0133000491163635,0.2408437106288107,5.024137676021492,0.18400911677447876,0.8159908832255213,0.010837626905128454,0.04805960109695489,True,ok,10,ok
14,138.22893777596522,0.14901174028580544,0.029920223206664626,30.3742385074406,43.11420539623133,99.45923132894065,0.6319684972865436,7.481474154966916,0.04969240124028171,0.18346535211734818,0.8165149099008742,0.8423370894083027,0.9003915525530805,0.951776008583697,1.0473128963872995,0.5440490799361506,0.24154346614668964,0.6537958027665154,0.13640235817305935,0.6069951467651863,0.08917928926100109,0.28002667885590254,0.893139389585933,0.29965524314669195,0.8975888673351755,0.08073834667833127,0.9192616533216688,0.004449477749242509,0.050660366981287126,True,ok,10,ok
15,100.06483991691931,0.24168547449118677,0.0165046367850137,66.64681809101153,49.102452231230814,78.39484265052069,0.34012710518495765,5.327910082022145,0.03424153444357476,0.16429453747046407,0.8356916502964784,0.8687097879203092,0.9190492487036648,0.9626643886260737,1.0355429920947594,0.4531657839084774,0.10376467486098151,0.6357848874364304,0.04877580090493771,0.24807947755747095,0.03101091708796756,0.2678472167568536,0.24579756777569628,0.2855809784887582,0.25171953102952577,0.09351665202576863,0.9064833479742314,0.00592196325382948,0.05740326413131767,True,ok,10,ok
16,89.816588199183,0.2850126200997057,0.031980255640450296,53.70895873268538,40.306297488433195,27.951222009887804,0.572297106628121,2.222314815708424,0.06803680601890731,0.19605290712629514,0.8039410648782447,0.87728321655163,0.923096559129815,0.9572556076268182,1.0423537698617822,0.39732633042575444,0.2645718809668718,0.6683629360172931,0.1012237502974021,0.4150687116326841,0.06765420294345302,0.18805778994185404,3.2275682524972247,0.18791316187154092,3.253734089598792,0.3304652175028376,0.6695347824971625,0.02616583710156722,0.053012956053396336,True,ok,10,ok
17,172.47384898124545,0.18290461946675596,0.022198341388255657,68.0342019930425,59.53016437275592,42.65997827521956,0.5950730215077765,6.926127624598984,0.06115643967417276,0.2399065007079263,0.7600814598968862,0.8582956659658624,0.9110102050005561,0.9554928654030155,1.0495553903458414,0.4754962528235413,0.44348747381090337,0.7164811036586995,0.16510677364696139,0.5230716954951096,0.11829588340410198,0.14844419470358688,12.994224821953484,0.14325630485811175,13.102495379840065,0.6963434266353704,0.3036565733646296,0.10827055788658062,0.04721386796594464,True,ok,10,ok
18,76.67152867818677,0.17042287805184514,0.018806029391209438,20.211468752767694,44.282416233436315,92.50177858633228,0.9744351663412548,7.942107491223228,0.07111238001012474,0.15520459102102727,0.844779666793356,0.8220932868139234,0.8849894148868753,0.9403901297338758,1.0577176396294323,0.6052924173535202,0.12560680971109736,0.6085983909515607,0.040228806074052416,0.2189434637116078,0.02448318664657067,0.170436075317676,13.128486623907605,0.16742792056041167,13.300195924085614,0.7673924443748433,0.23260755562515667,0.17170930017800773,0.05204752911667055,True,ok,10,ok
19,162.92744880504836,0.15718362047784581,0.014492197444145594,35.400328676175235,37.300362139787204,16.17717135571732,0.35820051839731915,5.2082323316909696,0.002235576401289716,0.1679457027510034,0.8320506454247041,0.8994424944991539,0.9333421243855821,0.9753060373637613,1.0175839193304073,0.32258077430272414,0.18284516922652902,0.6787675070947429,0.07127941686133327,0.3531307694212041,0.04838215209013416,0.21622506884329362,5.004567418467744,0.2314343206034316,5.018780508975881,0.21546845971847722,0.7845315402815227,0.014213090508137015,0.05175058012239188,True,ok,10,ok
20,88.23683348731407,0.34567542461029604,0.024106079617578213,42.21172152880389,50.036649821706604,87.5459715568399,0.9549722503843957,8.528182167231677,0.02740796058702001,0.20788454085139055,0.7920952863359567,0.829100911722485,0.885517135715013,0.9477273664485362,1.0391047998801428,0.5822515043766995,0.2510426186247523,0.6338565748000954,0.07948737156596816,0.3028385996210686,0.050383593080667075,0.15031377598230586,7.3954208054121935,0.14182951106876945,7.569742587828662,0.7683165847048239,0.2316834152951761,0.17432178241646812,0.05256617742555458,True,ok,10,ok
21,149.8441321020092,0.27951363935161916,0.014751249485007872,64.20834283907617,48.14897425245148,6.943776380741163,0.9482849810945801,0.44077904616881003,0.03584288719557617,0.24994446071525178,0.7500534565200908,0.8901839091953885,0.9214590604379834,0.9596903608135728,1.0215012899622373,0.32173712333983107,0.31378678412685096,0.7355362526155685,0.09930542707686026,0.29800123575699683,0.0730427416965024,0.1597355185471612,6.575922421517326,0.1593685416993316,6.621662952851214,0.4815030738379559,0.5184969261620441,0.045740531333887634,0.04925477361671183,True,ok,10,ok
22,164.37929589124147,0.14591688950030338,0.027048049161397983,46.952311832823,73.69770757248337,29.45354761980267,0.6962737168114628,9.389397301521239,0.05020015901208134,0.23658906031232468,0.7634015847712062,0.8549652319861034,0.9062737064406166,0.9565576441442425,1.0487710617919426,0.4825119572141953,0.47420337555566633,0.7181359524229985,0.1890828735022168,0.6100893158777126,0.13578720944939182,0.15056083539587706,15.324365285694512,0.14408101485718178,15.435218738356578,0.7042545537441041,0.29574544625589594,0.11085345266206718,0.046551923096918094,True,ok,10,ok
23,155.90518992840055,0.21013389356437995,0.021905465285872984,50.63149014258489,31.54398339794828,18.286790917294265,0.679821174149327,7.042714042399732,0.015472877339755019,0.1758211065367163,0.8241743203558392,0.8747816679674197,0.9149879755019705,0.9646524276021313,1.0274606674649582,0.40457231542068584,0.3156225692916057,0.6602852420482533,0.10793260502645091,0.5059288357192173,0.07126630623478866,0.15452967025301842,12.347503138650126,0.15034136132197798,12.499740931240241,0.7468621530441228,0.25313784695587715,0.1522377925901165,0.051598741326635125,True,ok,10,ok
24,95.36754891232059,0.23019477982601294,0.02050890305061868,62.23781877969849,58.69758759704026,24.009218661385862,0.07577991475482881,6.086838511044608,0.026748788986316205,0.17494053471134705,0.8250541868520795,0.9011781584308471,0.9410702160161738,0.9766546115313529,1.0311860609666632,0.3297497783424331,0.2087675386309602,0.6721389082642227,0.061504077024232565,0.29005664865160596,0.04133928318486634,0.15667657433761023,12.09236462568338,0.1511439341148868,12.278496595504722,0.7817920266390477,0.21820797336095232,0.1861319698213419,0.05195177045614597,True,ok,10,ok
25,103.85845807696306,0.20601598491652678,0.0246997521460567,64.93806087434947,53.43866823823066,54.539125382435735,0.9628994905008684,7.21025281435905,0.004016093316308286,0.16804462083586896,0.831944840042273,0.8435934741917238,0.8916852970028598,0.9535646283494418,1.024931935777293,0.5231920838451387,0.18929728250324404,0.6305830233521108,0.07748963528538039,0.3836068005805121,0.048863648496707573,0.20926815271322363,6.2188249461093505,0.2077678539804622,6.253388368339792,0.39557444482247817,0.6044255551775218,0.03456342223044149,0.052811843494705406,True,ok,10,ok
26,135.14931175607668,0.2264551100185146,0.01917860675707653,26.21569262075654,60.059951674196604,45.931504211798384,0.9913620726303783,8.240049194861495,0.05367265413510628,0.21708241232844538,0.7829056121121846,0.835066445291279,0.8905017660813381,0.9463167906984176,1.0489720964967437,0.5498167610285225,0.3102290479410798,0.6703058715772585,0.10114322304330356,0.36475192987778343,0.06779689627617465,0.15074129905442818,11.129624491420774,0.14542379875311312,11.269632022307439,0.7391513402448149,0.2608486597551851,0.1400075308866653,0.04940906523327582,True,ok,10,ok
